Time,In Bit Rate,Out Bit Rate
28.Apr 00:00,729258.29,721253.81
28.Apr 00:05,1108344.05,1098315.15
28.Apr 00:10,789113.49,781754.16
28.Apr 00:15,794784.13,786325.23
28.Apr 00:20,861578.4,852475.41
28.Apr 00:25,791952.4,783831.39
28.Apr 00:30,826110.43,817334.51
28.Apr 00:35,841027.68,833109.09
28.Apr 00:40,810348.75,802949.39
28.Apr 00:45,848248.67,840202.35
28.Apr 00:50,972292.29,964768.85
28.Apr 00:55,836631.15,828639.49
28.Apr 01:00,872080.64,863892.45
28.Apr 01:05,1008542.11,1000404.88
28.Apr 01:10,2580551.01,2573559.17
28.Apr 01:15,745764.16,739034.27
28.Apr 01:20,1129394.51,1121130.08
28.Apr 01:25,875752.59,867228.99
28.Apr 01:30,798774.85,790430.24
28.Apr 01:35,775710.64,767382.21
28.Apr 01:40,788762.03,778913.28
28.Apr 01:45,793220.05,785480.85
28.Apr 01:50,984429.97,976900.96
28.Apr 01:55,836623.39,828037.92
28.Apr 02:00,768913.47,760120.29
28.Apr 02:05,907101.12,898010
28.Apr 02:10,789307.04,780719.36
28.Apr 02:15,957440.85,949823.41
28.Apr 02:20,1157129.95,1148457.57
28.Apr 02:25,774993.49,768094.85
28.Apr 02:30,773527.89,766398.4
28.Apr 02:35,760622.67,752420.19
28.Apr 02:40,754967.07,746469.41
28.Apr 02:45,739515.49,732659.49
28.Apr 02:50,851680.96,843597.97
28.Apr 02:55,769743.92,763116.93
28.Apr 03:00,882951.6,875330.05
28.Apr 03:05,1130598.88,1121821.36
28.Apr 03:10,758351.89,750935.95
28.Apr 03:15,710439.87,703529.31
28.Apr 03:20,898920.88,891043.6
28.Apr 03:25,767122.45,757831.65
28.Apr 03:30,761766.43,1120291.87
28.Apr 03:35,3052644.29,3048317.39
28.Apr 03:40,740940.32,732721.87
28.Apr 03:45,734828.19,727248.37
28.Apr 03:50,749411.41,741981.15
28.Apr 03:55,738246.08,731737.89
28.Apr 04:00,740326.37,733701.92
28.Apr 04:05,940323.76,932942.43
28.Apr 04:10,727554.64,720316.43
28.Apr 04:15,738722.67,730986.16
28.Apr 04:20,1116270.8,1108216.16
28.Apr 04:25,773265.12,765178.93
28.Apr 04:30,763530.48,755887.28
28.Apr 04:35,778341.73,771428.11
28.Apr 04:40,788425.47,780392.99
28.Apr 04:45,792409.63,785034.61
28.Apr 04:50,1043388.69,1035774.21
28.Apr 04:55,738276.59,730946.03
28.Apr 05:00,712017.44,704860.53
28.Apr 05:05,2986638.16,2978519.68
28.Apr 05:10,1192983.04,1183092.59
28.Apr 05:15,2846825.92,2839838.21
28.Apr 05:20,1012240.99,1004382.16
28.Apr 05:25,811176.48,802965.71
28.Apr 05:30,786761.31,779172.16
28.Apr 05:35,1101265.87,1093173.52
28.Apr 05:40,881901.44,873387.44
28.Apr 05:45,870691.95,861820.93
28.Apr 05:50,1344154,1334000.69
